Facility ID,PSI 90 Composite Value,CLABSI SIR,CAUTI SIR,SSI SIR,CDI SIR,MRSA SIR,Total HAC Score,Payment Reduction
10001,0.9515,0.512,0.127,0.87,0.435,0.316,-0.3384,No
10005,0.9745,0.83,1.119,0.165,0.581,2.077,0.6065,Yes
10006,1.1358,0,0,0,0.052,0.197,-0.9099,No
10007,1.059,,0.661,,0.863,,0.8821,Yes
10008,,,,,,,,No
10011,1.0402,1.059,0.307,0,0.468,0.692,-0.0474,No
10012,1.0192,,1.03,1.163,0.449,,0.5478,Yes
10016,1.4414,1.225,0.655,0.341,0.417,0.921,0.6591,Yes
10018,0.99,,,,,,0.0109,No
10019,0.9283,1.8,0.24,0.939,0.986,0,0.328,No
10021,1.1572,,,,0.441,,0.7116,Yes
10022,,,,,0,,-1.4622,No
10023,2.0019,1.143,0.787,1.072,0.401,1.512,1.0846,Yes
10024,0.9484,1.776,0.777,0.658,0.774,2.276,0.9909,Yes
10029,0.9858,0.909,0.796,1.418,0.717,0.408,0.4943,Yes
10033,1.1668,0.738,0.545,0.644,0.385,0.94,0.2881,No
10034,,,,,0,,-1.4622,No
10035,1.08,0.364,0.685,0.475,0.415,0.68,-0.0208,No
10036,0.9345,,0,,0.191,,-0.806,No
10039,1.722,0.875,0.699,0.671,0.687,1.237,0.9199,Yes
10040,1.6035,1.483,0.346,0.131,0.156,1.57,0.6323,Yes
10044,,,,,,,,No
10045,,,,,1.295,,2.1931,Yes
10046,0.8528,0.351,0.166,0,0.138,1.388,-0.5664,No
10049,0.8702,,0,0,0.102,0,-1.2251,No
10051,,,,,,,,No
10052,,,,,,,,No
10055,0.603,0.116,0.118,0,0.086,0.159,-1.2276,No
10056,0.7372,1.076,0.376,0.848,0.509,0.407,-0.1513,No
10058,,,,,0.65,,1.0547,Yes
10059,,,,,,,,No
10061,1.0015,,1.042,,0.494,,0.5781,Yes
10062,0.9777,,,,0,,-0.7687,No
10065,0.9922,,0.371,,0.654,,0.224,No
10073,1.1932,,,,0.561,,1.0698,Yes
10078,0.9009,0.99,1.118,0.28,1.146,1.226,0.6627,Yes
10079,0.8673,0,0.712,0.873,0.278,0,-0.6097,No
10083,0.8238,0,0.225,0,0.233,0.347,-1.0134,No
10085,1.1974,0,0.072,0,0.278,0.23,-0.652,No
10086,0.9656,,,,0.727,,0.5965,Yes
10087,1.2996,1.079,0.369,0.744,0.561,2.078,0.9321,Yes
10089,0.9238,1.294,0.5,0.212,0.076,1.475,0.0658,No
10090,1.1034,0.917,0.224,0.209,0.197,0.665,-0.1868,No
10091,,,,,,,,No
10092,0.9395,1.302,0.264,0.785,0.703,1.046,0.4111,Yes
10095,,,,,,,,No
10097,,,,,0,,-1.4622,No
10099,1.0373,,,0,0.659,,-0.0088,No
10100,1.0945,0.609,1.345,1.371,0.5,0.623,0.6468,Yes
10101,0.9645,,1.795,,2.436,,1.4707,Yes
10103,1.2395,0.264,0.466,1.154,0.269,1.19,0.3154,No
10104,0.8582,0.462,0.482,0.739,0.305,0.738,-0.2979,No
10108,0.9423,2.871,1.775,,0.297,1.867,1.2435,Yes
10110,,,,,,,,No
10112,1.4536,0,1.765,2.297,0.243,,1.0283,Yes
10113,1.1717,0.841,0.746,1.71,0.504,0.629,0.6871,Yes
10114,1.1643,0.824,0.539,0.959,0.648,1.192,0.6634,Yes
10118,0.9494,1.855,0.848,0,0.079,0,-0.2295,No
10120,0.9922,,,,,,1.654,Yes
10125,,,,,0,,-1.4622,No
10126,0.9752,,,,0,,-0.7774,No
10128,,,,,,,,No
10129,0.9876,,,,,,1.646,Yes
10130,0.9477,,1.792,,0.582,,0.9644,Yes
10131,0.9445,2.252,0.335,0.703,0.291,1.204,0.3156,No
10138,,,,,0,,0.3548,No
10139,0.9455,0.557,0.435,0.37,0.4,0.733,-0.2243,No
10144,0.9686,0.538,0.31,0.081,0.209,0.688,-0.4764,No
10148,,,,,0,,-1.4622,No
10149,1.1714,1.589,1.233,0.302,0.237,0.76,0.6363,Yes
10150,0.9723,,0,,0,,-0.9644,No
10157,0.9678,,,,0.221,,-0.3755,No
10158,0.9859,,0,,0,,-0.933,No
10164,0.9421,0,0,0,0.153,0.883,-0.8311,No
10168,0.9438,,,,0,,-0.8869,No
10169,0.9889,,,,0.375,,-0.0036,No
10173,1.2018,,,,0.534,,1.0474,Yes
20001,1.2409,0.67,1.019,1.302,0.437,0.376,0.5634,Yes
20006,0.9963,0,0.151,0,0.095,0.477,-0.8863,No
20008,1.1342,,,,0.156,,0.0796,No
20012,0.964,2.082,0.245,2.338,0.47,0,0.4022,Yes
20017,1.0231,0.414,0.595,1.332,0.383,0.173,-0.0564,No
20018,,,,,0,,-1.4622,No
20024,1.0921,0,3.122,2.296,0.644,0,0.5748,Yes
20026,1.6711,1.105,0.406,1.131,0.351,1.372,0.8527,Yes
30002,1.2999,0.788,0.336,1.401,0.35,0.584,0.4478,Yes
30006,1.3071,1.017,0.707,0.883,0.441,0.444,0.5559,Yes
30007,1.0817,,0,2.53,0.244,0,-0.0941,No
30010,0.9764,0.379,0.434,0,0.551,0.703,-0.2762,No
30011,0.8692,0,0.051,0.877,0.142,0.139,-0.9114,No
30012,1.3865,0.296,0.388,0.179,0.415,0.143,-0.1259,No
30013,0.9168,0.678,1.094,0.764,0.358,0.776,0.1542,No
30014,0.9761,0.609,0.623,1.582,0.419,0.916,0.3289,No
30016,1.1428,0.714,0.176,0.828,0.503,1.544,0.4417,Yes
30022,1.2015,0.258,0.33,1.578,0.417,0.114,0.056,No
30023,0.9916,0,0.068,0.473,0.416,0.251,-0.6616,No
30024,1.281,0.66,0.312,0.842,0.269,0.598,0.1597,No
30030,0.9447,0.309,0,0,0.519,0.349,-0.6584,No
30036,1.0708,0.274,0.358,0.292,0.369,0.932,-0.1918,No
30037,0.9465,0,0,,0.546,,-0.5916,No
30038,0.9024,0.254,0.246,2.044,0.304,1.095,0.0746,No
30043,0.9703,0,0,1.579,0.147,,-0.4993,No
30055,1.1257,0.3,0.218,0,0.176,0.879,-0.4005,No
30061,1.4113,0.831,0.216,0.717,0.618,1.179,0.6573,Yes
