Facility ID,Facility Name,City/Town,State,County/Parish,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating
10001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4
10005,MARSHALL MEDICAL CENTERS,BOAZ,AL,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3
10006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,LAUDERDALE,Acute Care Hospitals,Proprietary,Yes,2
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1
10011,ST. VINCENT'S EAST,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,DE KALB,Acute Care Hospitals,Proprietary,Yes,2
10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2
10018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,
10019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2
10021,DALE MEDICAL CENTER,OZARK,AL,DALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
10022,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,CHEROKEE,Acute Care Hospitals,Proprietary,Yes,
10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2
10024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,MONTGOMERY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,LEE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3
10033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Government - State,Yes,2
10034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,ELMORE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,
10035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,CULLMAN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2
10036,ANDALUSIA HEALTH,ANDALUSIA,AL,COVINGTON,Acute Care Hospitals,Proprietary,Yes,2
10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,MADISON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3
10040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,ETOWAH,Acute Care Hospitals,Proprietary,Yes,2
10044,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,MARION,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
10045,FAYETTE MEDICAL CENTER,FAYETTE,AL,FAYETTE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4
10046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,ETOWAH,Acute Care Hospitals,Proprietary,Yes,3
10049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,COFFEE,Acute Care Hospitals,Proprietary,Yes,4
10051,GREENE COUNTY HOSPITAL,EUTAW,AL,GREENE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,
10052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,TALLAPOOSA,Acute Care Hospitals,Proprietary,Yes,
10055,FLOWERS HOSPITAL,DOTHAN,AL,HOUSTON,Acute Care Hospitals,Proprietary,Yes,2
10056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
10058,BIBB MEDICAL CENTER,CENTREVILLE,AL,BIBB,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
10061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,JACKSON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3
10062,WIREGRASS MEDICAL CENTER,GENEVA,AL,GENEVA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
10065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,TALLAPOOSA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
10073,CLAY COUNTY HOSPITAL,ASHLAND,AL,CLAY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,CALHOUN,Acute Care Hospitals,Government - Local,Yes,1
10079,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,LIMESTONE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2
10083,BALDWIN HEALTH,FOLEY,AL,BALDWIN,Acute Care Hospitals,Proprietary,Yes,4
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,MORGAN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3
10086,NORTHWEST MEDICAL CENTER,WINFIELD,AL,FAYETTE,Acute Care Hospitals,Proprietary,Yes,4
10087,USA HEALTH UNIVERSITY HOSPITAL,MOBILE,AL,MOBILE,Acute Care Hospitals,Government - State,Yes,2
10089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,WALKER,Acute Care Hospitals,Proprietary,Yes,3
10090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",MOBILE,AL,MOBILE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3
10091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,CLARKE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
10092,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,TUSCALOOSA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2
10095,HALE COUNTY HOSPITAL,GREENSBORO,AL,HALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,
10097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,ELMORE,Acute Care Hospitals,Proprietary,Yes,
